"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Regional School District 10","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","98.1"
"Regional School District 10","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 10","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 10","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 10","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 10","","2014-2015","High Needs","Other Count","Number","-9999"
"Regional School District 10","","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Regional School District 10","","2014-2015","High Needs","Other Rate","Percent","-9999"
"Regional School District 10","","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 10","","2015-2016","High Needs","Total Cohort Count","Number","42"
"Regional School District 10","","2015-2016","Non-High Needs","Total Cohort Count","Number","154"
"Regional School District 10","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 10","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 10","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 10","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 10","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 10","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","0"
"Regional School District 10","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 10","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","0.0"
"Regional School District 10","","2015-2016","High Needs","Other Count","Number","-9999"
"Regional School District 10","","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Regional School District 10","","2015-2016","High Needs","Other Rate","Percent","-9999"
"Regional School District 10","","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2010-2011","High Needs","Total Cohort Count","Number","9"
"Regional School District 11","","2010-2011","Non-High Needs","Total Cohort Count","Number","29"
"Regional School District 11","","2010-2011","High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 11","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 11","","2010-2011","High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 11","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 11","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2010-2011","High Needs","Other Count","Number","-9999"
"Regional School District 11","","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Regional School District 11","","2010-2011","High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2011-2012","High Needs","Total Cohort Count","Number","23"
"Regional School District 11","","2011-2012","Non-High Needs","Total Cohort Count","Number","19"
"Regional School District 11","","2011-2012","High Needs","Four Year Graduation Count","Number","22"
"Regional School District 11","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","18"
"Regional School District 11","","2011-2012","High Needs","Four Year Graduation Rate","Percent","95.7"
"Regional School District 11","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","94.7"
"Regional School District 11","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2011-2012","High Needs","Other Count","Number","-9999"
"Regional School District 11","","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Regional School District 11","","2011-2012","High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2012-2013","High Needs","Total Cohort Count","Number","20"
"Regional School District 11","","2012-2013","Non-High Needs","Total Cohort Count","Number","24"
"Regional School District 11","","2012-2013","High Needs","Four Year Graduation Count","Number","16"
"Regional School District 11","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","22"
"Regional School District 11","","2012-2013","High Needs","Four Year Graduation Rate","Percent","80.0"
"Regional School District 11","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","91.7"
"Regional School District 11","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2012-2013","High Needs","Other Count","Number","-9999"
"Regional School District 11","","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Regional School District 11","","2012-2013","High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2013-2014","High Needs","Total Cohort Count","Number","21"
"Regional School District 11","","2013-2014","Non-High Needs","Total Cohort Count","Number","19"
"Regional School District 11","","2013-2014","High Needs","Four Year Graduation Count","Number","18"
"Regional School District 11","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","19"
"Regional School District 11","","2013-2014","High Needs","Four Year Graduation Rate","Percent","85.7"
"Regional School District 11","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Regional School District 11","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2013-2014","High Needs","Other Count","Number","-9999"
"Regional School District 11","","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Regional School District 11","","2013-2014","High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2014-2015","High Needs","Total Cohort Count","Number","23"
"Regional School District 11","","2014-2015","Non-High Needs","Total Cohort Count","Number","28"
"Regional School District 11","","2014-2015","High Needs","Four Year Graduation Count","Number","22"
"Regional School District 11","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","28"
"Regional School District 11","","2014-2015","High Needs","Four Year Graduation Rate","Percent","95.7"
"Regional School District 11","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Regional School District 11","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2014-2015","High Needs","Other Count","Number","-9999"
"Regional School District 11","","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Regional School District 11","","2014-2015","High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2015-2016","High Needs","Total Cohort Count","Number","20"
"Regional School District 11","","2015-2016","Non-High Needs","Total Cohort Count","Number","13"
"Regional School District 11","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 11","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 11","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 11","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 11","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 11","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","0"
"Regional School District 11","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 11","","2015-2016","High Needs","Other Count","Number","-9999"
"Regional School District 11","","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Regional School District 11","","2015-2016","High Needs","Other Rate","Percent","-9999"
"Regional School District 11","","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2010-2011","High Needs","Total Cohort Count","Number","14"
"Regional School District 12","","2010-2011","Non-High Needs","Total Cohort Count","Number","79"
"Regional School District 12","","2010-2011","High Needs","Four Year Graduation Count","Number","12"
"Regional School District 12","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","68"
"Regional School District 12","","2010-2011","High Needs","Four Year Graduation Rate","Percent","85.7"
"Regional School District 12","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","86.1"
"Regional School District 12","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2010-2011","High Needs","Other Count","Number","-9999"
"Regional School District 12","","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Regional School District 12","","2010-2011","High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2011-2012","High Needs","Total Cohort Count","Number","20"
"Regional School District 12","","2011-2012","Non-High Needs","Total Cohort Count","Number","54"
"Regional School District 12","","2011-2012","High Needs","Four Year Graduation Count","Number","16"
"Regional School District 12","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","47"
"Regional School District 12","","2011-2012","High Needs","Four Year Graduation Rate","Percent","80.0"
"Regional School District 12","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","87.0"
"Regional School District 12","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2011-2012","High Needs","Other Count","Number","-9999"
"Regional School District 12","","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Regional School District 12","","2011-2012","High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2012-2013","High Needs","Total Cohort Count","Number","26"
"Regional School District 12","","2012-2013","Non-High Needs","Total Cohort Count","Number","65"
"Regional School District 12","","2012-2013","High Needs","Four Year Graduation Count","Number","17"
"Regional School District 12","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","61"
"Regional School District 12","","2012-2013","High Needs","Four Year Graduation Rate","Percent","65.4"
"Regional School District 12","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","93.8"
"Regional School District 12","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2012-2013","High Needs","Other Count","Number","-9999"
"Regional School District 12","","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Regional School District 12","","2012-2013","High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2013-2014","High Needs","Total Cohort Count","Number","26"
"Regional School District 12","","2013-2014","Non-High Needs","Total Cohort Count","Number","55"
"Regional School District 12","","2013-2014","High Needs","Four Year Graduation Count","Number","21"
"Regional School District 12","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","55"
"Regional School District 12","","2013-2014","High Needs","Four Year Graduation Rate","Percent","80.8"
"Regional School District 12","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Regional School District 12","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2013-2014","High Needs","Other Count","Number","-9999"
"Regional School District 12","","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Regional School District 12","","2013-2014","High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2014-2015","High Needs","Total Cohort Count","Number","19"
"Regional School District 12","","2014-2015","Non-High Needs","Total Cohort Count","Number","53"
"Regional School District 12","","2014-2015","High Needs","Four Year Graduation Count","Number","17"
"Regional School District 12","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","53"
"Regional School District 12","","2014-2015","High Needs","Four Year Graduation Rate","Percent","89.5"
"Regional School District 12","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Regional School District 12","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2014-2015","High Needs","Other Count","Number","-9999"
"Regional School District 12","","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Regional School District 12","","2014-2015","High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2015-2016","High Needs","Total Cohort Count","Number","19"
"Regional School District 12","","2015-2016","Non-High Needs","Total Cohort Count","Number","59"
"Regional School District 12","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 12","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 12","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 12","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 12","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 12","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","0"
"Regional School District 12","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 12","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","0.0"
"Regional School District 12","","2015-2016","High Needs","Other Count","Number","0"
"Regional School District 12","","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Regional School District 12","","2015-2016","High Needs","Other Rate","Percent","-9999"
"Regional School District 12","","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2010-2011","High Needs","Total Cohort Count","Number","21"
"Regional School District 13","","2010-2011","Non-High Needs","Total Cohort Count","Number","120"
"Regional School District 13","","2010-2011","High Needs","Four Year Graduation Count","Number","16"
"Regional School District 13","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","115"
"Regional School District 13","","2010-2011","High Needs","Four Year Graduation Rate","Percent","76.2"
"Regional School District 13","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","95.8"
"Regional School District 13","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2010-2011","High Needs","Other Count","Number","-9999"
"Regional School District 13","","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Regional School District 13","","2010-2011","High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2011-2012","High Needs","Total Cohort Count","Number","28"
"Regional School District 13","","2011-2012","Non-High Needs","Total Cohort Count","Number","114"
"Regional School District 13","","2011-2012","High Needs","Four Year Graduation Count","Number","25"
"Regional School District 13","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","113"
"Regional School District 13","","2011-2012","High Needs","Four Year Graduation Rate","Percent","89.3"
"Regional School District 13","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","99.1"
"Regional School District 13","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2011-2012","High Needs","Other Count","Number","-9999"
"Regional School District 13","","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Regional School District 13","","2011-2012","High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2012-2013","High Needs","Total Cohort Count","Number","31"
"Regional School District 13","","2012-2013","Non-High Needs","Total Cohort Count","Number","122"
"Regional School District 13","","2012-2013","High Needs","Four Year Graduation Count","Number","23"
"Regional School District 13","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","121"
"Regional School District 13","","2012-2013","High Needs","Four Year Graduation Rate","Percent","74.2"
"Regional School District 13","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","99.2"
"Regional School District 13","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2012-2013","High Needs","Other Count","Number","-9999"
"Regional School District 13","","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Regional School District 13","","2012-2013","High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2013-2014","High Needs","Total Cohort Count","Number","32"
"Regional School District 13","","2013-2014","Non-High Needs","Total Cohort Count","Number","102"
"Regional School District 13","","2013-2014","High Needs","Four Year Graduation Count","Number","25"
"Regional School District 13","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","100"
"Regional School District 13","","2013-2014","High Needs","Four Year Graduation Rate","Percent","78.1"
"Regional School District 13","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","98.0"
"Regional School District 13","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2013-2014","High Needs","Other Count","Number","-9999"
"Regional School District 13","","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Regional School District 13","","2013-2014","High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2014-2015","High Needs","Total Cohort Count","Number","45"
"Regional School District 13","","2014-2015","Non-High Needs","Total Cohort Count","Number","109"
"Regional School District 13","","2014-2015","High Needs","Four Year Graduation Count","Number","32"
"Regional School District 13","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","109"
"Regional School District 13","","2014-2015","High Needs","Four Year Graduation Rate","Percent","71.1"
"Regional School District 13","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Regional School District 13","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2014-2015","High Needs","Other Count","Number","-9999"
"Regional School District 13","","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Regional School District 13","","2014-2015","High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2015-2016","High Needs","Total Cohort Count","Number","50"
"Regional School District 13","","2015-2016","Non-High Needs","Total Cohort Count","Number","99"
"Regional School District 13","","2015-2016","High Needs","Four Year Graduation Count","Number","36"
"Regional School District 13","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","99"
"Regional School District 13","","2015-2016","High Needs","Four Year Graduation Rate","Percent","72.0"
"Regional School District 13","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","100.0"
"Regional School District 13","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 13","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","0"
"Regional School District 13","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 13","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","0.0"
"Regional School District 13","","2015-2016","High Needs","Other Count","Number","-9999"
"Regional School District 13","","2015-2016","Non-High Needs","Other Count","Number","0"
"Regional School District 13","","2015-2016","High Needs","Other Rate","Percent","-9999"
"Regional School District 13","","2015-2016","Non-High Needs","Other Rate","Percent","0.0"
"Regional School District 14","","2010-2011","High Needs","Total Cohort Count","Number","34"
"Regional School District 14","","2010-2011","Non-High Needs","Total Cohort Count","Number","184"
"Regional School District 14","","2010-2011","High Needs","Four Year Graduation Count","Number","29"
"Regional School District 14","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","178"
"Regional School District 14","","2010-2011","High Needs","Four Year Graduation Rate","Percent","85.3"
"Regional School District 14","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","96.7"
"Regional School District 14","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2010-2011","High Needs","Other Count","Number","-9999"
"Regional School District 14","","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Regional School District 14","","2010-2011","High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2011-2012","High Needs","Total Cohort Count","Number","34"
"Regional School District 14","","2011-2012","Non-High Needs","Total Cohort Count","Number","161"
"Regional School District 14","","2011-2012","High Needs","Four Year Graduation Count","Number","31"
"Regional School District 14","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","158"
"Regional School District 14","","2011-2012","High Needs","Four Year Graduation Rate","Percent","91.2"
"Regional School District 14","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","98.1"
"Regional School District 14","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2011-2012","High Needs","Other Count","Number","-9999"
"Regional School District 14","","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Regional School District 14","","2011-2012","High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2012-2013","High Needs","Total Cohort Count","Number","46"
"Regional School District 14","","2012-2013","Non-High Needs","Total Cohort Count","Number","155"
"Regional School District 14","","2012-2013","High Needs","Four Year Graduation Count","Number","39"
"Regional School District 14","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","148"
"Regional School District 14","","2012-2013","High Needs","Four Year Graduation Rate","Percent","84.8"
"Regional School District 14","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","95.5"
"Regional School District 14","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2012-2013","High Needs","Other Count","Number","-9999"
"Regional School District 14","","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Regional School District 14","","2012-2013","High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2013-2014","High Needs","Total Cohort Count","Number","44"
"Regional School District 14","","2013-2014","Non-High Needs","Total Cohort Count","Number","167"
"Regional School District 14","","2013-2014","High Needs","Four Year Graduation Count","Number","38"
"Regional School District 14","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","166"
"Regional School District 14","","2013-2014","High Needs","Four Year Graduation Rate","Percent","86.4"
"Regional School District 14","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","99.4"
"Regional School District 14","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2013-2014","High Needs","Other Count","Number","-9999"
"Regional School District 14","","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Regional School District 14","","2013-2014","High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2014-2015","High Needs","Total Cohort Count","Number","42"
"Regional School District 14","","2014-2015","Non-High Needs","Total Cohort Count","Number","147"
"Regional School District 14","","2014-2015","High Needs","Four Year Graduation Count","Number","40"
"Regional School District 14","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","146"
"Regional School District 14","","2014-2015","High Needs","Four Year Graduation Rate","Percent","95.2"
"Regional School District 14","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","99.3"
"Regional School District 14","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
